iterations,threads,time_in_ns,matrix_size,gmacs
15,c0,23844000,624,10.19001107196779
16,c0,9987000,624,24.328689696605586
17,c0,26997000,624,8.999911990221136
18,c0,6453000,624,37.65235146443515
19,c0,20250000,624,11.998549333333333
20,c0,11968000,624,20.30168983957219
21,c0,16882000,624,14.392289065276627
22,c0,13554000,624,17.92611952191235
23,c0,18840000,624,12.896529936305733
24,c0,13014000,624,18.669941908713692
0,c0,17537000,648,15.515640759536979
1,c0,55226000,648,4.926987143736646
2,c0,19425000,648,14.007608339768339
3,c0,6945000,648,39.17894773218143
4,c0,20517000,648,13.262065214212605
5,c0,13658000,648,19.922228144677113
6,c0,15553000,648,17.49487507233331
7,c0,13755000,648,19.781736968375135
8,c0,18751000,648,14.511108314223241
9,c0,15056000,648,18.0723825717322
10,c0,26652000,648,10.209282305267898
11,c0,7681000,648,35.42478739747429
12,c0,27643000,648,9.84328010707955
13,c0,23032000,648,11.813902049322682
14,c0,17697000,648,15.375362603831158
15,c0,17548000,648,15.505914748119444
16,c0,12953000,648,21.006546128310045
17,c0,15390000,648,17.68016842105263
18,c0,16098000,648,16.902583674990684
19,c0,19991000,648,13.611014556550447
20,c0,13477000,648,20.189789419010165
21,c0,13187000,648,20.633790247971486
22,c0,16518000,648,16.472804940065384
23,c0,11088000,648,24.539844155844158
24,c0,21379000,648,12.727339538799757
0,c0,15860000,672,19.133950063051703
1,c0,14922000,672,20.336714113389625
2,c0,22527000,672,13.471143427886537
3,c0,21789000,672,13.927415117719951
4,c0,22002000,672,13.792584674120535
5,c0,16564000,672,18.320722530789663
6,c0,11325000,672,26.79597774834437
7,c0,10684000,672,28.403636091351554
8,c0,22370000,672,13.565688332588287
9,c0,13744000,672,22.07977648428405
10,c0,20980000,672,14.464463679694948
11,c0,21703000,672,13.982603695341657
12,c0,17209000,672,17.634054738799467
13,c0,20831000,672,14.567925111612501
14,c0,14656000,672,20.705816593886464
15,c0,23072000,672,13.152932038834951
16,c0,18357000,672,16.53126589311979
17,c0,25905000,672,11.714512565141865
18,c0,22246000,672,13.641303964757709
19,c0,7319000,672,41.462556086897116
20,c0,21962000,672,13.81770549130316
21,c0,13981000,672,21.705489449967814
22,c0,21315000,672,14.237131034482758
23,c0,8225000,672,36.89537361702128
24,c0,18574000,672,16.33813115107139
0,c0,27222000,696,12.385333039453384
1,c0,14219000,696,23.711480132217456
2,c0,28022000,696,12.03174420098494
3,c0,11388000,696,29.606035827186513
4,c0,23450000,696,14.377549509594882
5,c0,12165000,696,27.71504611590629
6,c0,26399000,696,12.771451039812113
7,c0,18251000,696,18.4731541285409
8,c0,13243000,696,25.45899992448841
9,c0,23441000,696,14.38306966426347
10,c0,22225000,696,15.170012868391451
11,c0,14797000,696,22.785262958707847
12,c0,21774000,696,15.484225957564067
13,c0,33484000,696,10.069093776131885
14,c0,36968000,696,9.1201454230686
15,c0,39761000,696,8.479503433012248
16,c0,14497000,696,23.256779747533972
17,c0,22293000,696,15.123740008074284
18,c0,23169000,696,14.55192438171695
19,c0,12418000,696,27.150389434691576
20,c0,21580000,696,15.623426135310472
21,c0,13924000,696,24.21384199942545
22,c0,22225000,696,15.170012868391451
23,c0,9620000,696,35.04714511434511
24,c0,26025000,696,12.9549869740634
0,c0,14316000,720,26.0720871751886
1,c0,20498000,720,18.20899599960972
2,c0,18322000,720,20.371575155550705
3,c0,23918000,720,15.605318170415586
4,c0,13844000,720,26.96099393238948
5,c0,24962000,720,14.952648024997997
6,c0,14179000,720,26.32400028210734
7,c0,32822000,720,11.371884711474012
8,c0,9055000,720,41.22009939260077
9,c0,21760000,720,17.152941176470588
10,c0,21413000,720,17.43090645869332
11,c0,20449000,720,18.252628490390727
12,c0,22090000,720,16.896695337256677
13,c0,15268000,720,24.44642389310977
14,c0,31338000,720,11.910396323951751
15,c0,29409000,720,12.6916250127512
16,c0,24309000,720,15.354313217326917
17,c0,8300000,720,44.969638554216864
18,c0,23419000,720,15.937828259105855
19,c0,20064000,720,18.60287081339713
20,c0,13701000,720,27.242391066345522
21,c0,19357000,720,19.282326806839905
